trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
242,False,"{'a': 0.5, 'e': 0.16172782102944552}",30,3,27.694476371575433,"{0: 26, 1: 0, 2: 1, 3: 0, 4: 0}",1
243,False,"{'a': 0.5, 'e': 0.1605148623717247}",20,8,3.675403893394231,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 0}",1
244,False,"{'a': 0.5, 'e': 0.15931100090393677}",25,15,-1.9990297123428173,"{0: 9, 1: 0, 2: 0, 3: 1, 4: 0}",1
245,False,"{'a': 0.5, 'e': 0.15811616839715723}",25,17,13.20336293855593,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
246,False,"{'a': 0.5, 'e': 0.15693029713417855}",20,11,18.607578893768448,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
247,False,"{'a': 0.5, 'e': 0.15575331990567223}",35,27,13.042925864814247,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
248,False,"{'a': 0.5, 'e': 0.1545851700063797}",20,3,28.38960636625291,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
249,False,"{'a': 0.5, 'e': 0.15342578123133185}",20,9,-27.39115841980751,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 1}",1
250,False,"{'a': 0.5, 'e': 0.15227508787209687}",20,6,1.4961021237465153,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 0}",1
251,False,"{'a': 0.5, 'e': 0.15113302471305615}",20,10,19.575455643032562,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
252,False,"{'a': 0.5, 'e': 0.14999952702770825}",25,20,10.348347139007371,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
253,False,"{'a': 0.5, 'e': 0.14887453057500044}",25,18,-10.062120920956266,"{0: 6, 1: 0, 2: 0, 3: 1, 4: 0}",1
254,False,"{'a': 0.5, 'e': 0.14775797159568793}",20,6,-30.34652028454498,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 1}",1
255,False,"{'a': 0.5, 'e': 0.1466497868087203}",20,2,7.670822758311864,"{0: 17, 1: 0, 2: 0, 3: 1, 4: 0}",1
256,False,"{'a': 0.5, 'e': 0.14554991340765489}",20,0,-62.68447255695324,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 2}",0
257,False,"{'a': 0.5, 'e': 0.14445828905709748}",20,10,9.904701676758211,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
258,False,"{'a': 0.5, 'e': 0.14337485188916926}",20,10,19.120960859895064,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
259,False,"{'a': 0.5, 'e': 0.14229954050000052}",25,9,16.598279695045495,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
260,False,"{'a': 0.5, 'e': 0.1412322939462505}",20,15,-13.412468293572916,"{0: 4, 1: 0, 2: 0, 3: 1, 4: 0}",1
261,False,"{'a': 0.5, 'e': 0.14017305174165365}",25,8,1.7903115191272714,"{0: 15, 1: 0, 2: 1, 3: 1, 4: 0}",1
262,False,"{'a': 0.5, 'e': 0.13912175385359124}",20,3,18.515544491686825,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
263,False,"{'a': 0.5, 'e': 0.1380783406996893}",20,4,18.281325764750022,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 0}",1
264,False,"{'a': 0.5, 'e': 0.13704275314444164}",20,2,25.91901994885938,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
265,False,"{'a': 0.5, 'e': 0.13601493249585833}",20,3,31.03804969725156,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
266,False,"{'a': 0.5, 'e': 0.1349948205021394}",20,16,10.129374384955625,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
267,False,"{'a': 0.5, 'e': 0.13398235934837338}",20,6,25.775143853949814,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
268,False,"{'a': 0.5, 'e': 0.1329774916532606}",30,21,10.315476859734432,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
269,False,"{'a': 0.5, 'e': 0.13198016046586114}",20,12,16.57971091399162,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
270,False,"{'a': 0.5, 'e': 0.13099030926236718}",20,9,23.790804102700616,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
271,False,"{'a': 0.5, 'e': 0.13000788194289944}",20,0,32.90991846965366,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
272,False,"{'a': 0.5, 'e': 0.1290328228283277}",30,19,20.392426855362164,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
273,False,"{'a': 0.5, 'e': 0.12806507665711525}",20,14,0.9119813467555931,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
274,False,"{'a': 0.5, 'e': 0.12710458858218687}",20,14,12.27108556542408,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
275,False,"{'a': 0.5, 'e': 0.1261513041678205}",20,14,9.394824780387077,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
276,False,"{'a': 0.5, 'e': 0.12520516938656184}",35,17,-11.388569928475714,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 1}",1
277,False,"{'a': 0.5, 'e': 0.12426613061616264}",20,2,17.405409332358108,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
278,False,"{'a': 0.5, 'e': 0.12333413463654141}",25,11,22.908143149810872,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
279,False,"{'a': 0.5, 'e': 0.12240912862676737}",20,3,12.866694124592032,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
